File ID,Transcript,Duration (s),Word Count
segment_1,報紙 來喔 好吃的便當 買菜喔 要不要買便當 來買報紙 報紙 買報紙 要不要吃便當 來喔 買菜 未上車的旅客請儘快上車 你好 買一個便當嗎 來 謝謝 找錢 我是采苓 永遠記得那一天 我媽說要帶我去台北 她說台北是一個 黃金堆砌而成的城市 在那裡只要肯努力 就會出人頭地 賺大錢 媽 妳有沒有聞到一股很香的味道 十一點二十分 開往台南的普通車 在第三月台即將發車 未上車的旅客請儘快上車 是茉莉花香 媽最喜歡的花 是媽媽最喜歡的嗎 我去摘給妳 等等 再等一會兒 火車要來了嗎 媽媽 我們要去哪裡 去台北 台北是什麼地方 台北… 台北是一個 黃金堆砌而成的城市 遍地是黃金 人只要肯努力 就賺得到錢,95.66,48
segment_2,能夠過好日子 那麼媽 妳快帶我去 我去那裡努力賺大錢 讓妳吃大餐 幫妳買新衣服 還要買很多茉莉花送給妳,13.61,7
segment_3,采苓 媽媽口好渴 去幫我買一瓶熱牛奶好嗎 好 來 錢給妳 等等 等等 這裡風大 來 圍巾圍好 衣服穿好 采苓 媽 妳還要買什麼 未料那一天 竟是我與我媽最後一次見面 早知如此 我一定不放開她的手 謝謝 謝謝 茉莉花香 是我對媽媽的最後記憶,151.17,23
segment_4,怎麼樣 有沒有追上來 債主應該沒有追上來 阿滿 待會兒我去買車票 我拿大件行李 妳顧好天寶 知道 全拜你所賜 我跑路跑到可以出書了 不必你指導 天寶 來 媽媽牽 來 走 往火車站找 快 我不知道什麼命 當初多少有錢人追我 偏不要 瞎了眼才嫁給你 好了 拜託 妳已經說了上百次了 別再念了 天寶抱起來 天寶 媽媽抱 快 來 往這裡 往這裡 好 快 快 要多快 抱著孩子能多快,60.06,38
segment_5,媽媽呢 媽媽 媽媽 妳在哪裡 媽媽 媽媽 我在這裡 媽媽 妳在哪裡 你有沒有看到我媽媽 媽媽 報紙 買報紙 媽媽 妳在哪裡 媽媽 媽媽 妳在哪裡 媽媽 我是采苓 妳在哪裡 媽媽 我是采苓 妳在哪裡 采苓 媽媽 我是采苓 妳在哪裡 媽媽 采苓 我是采苓 媽媽 妳在哪裡,102.56,33
segment_6,快點 好了 在走了 等等 火燒屁股了還等什麼 等等 去買票 來了 快點 什麼 來了 真是要命又缺德 害我手好痛 唱歌唱到一半 債主就來了 債主一來 還沒領錢就得跑路 我真是倒楣 好了 別再念了 念到幾件行李 我都快忘了 一 二 三 四 五 六 七 沒錯 天寶呢 我的媽啊 我的天寶呢 媽媽 這是我與天寶初次見面 見他哭得如此傷心 讓我忘了 自己也正在找媽媽 弟弟 媽媽 你怎麼在這裡哭 媽媽 等等 債主追上來了 做什麼 一旦被債主逮到 我們就別想逃了 你在胡說什麼 為了躲債主 連自己兒子都不要 我跟你拚了 告訴你 妳哪隻耳朵聽到我不要孩子了 見機行事 我們隨機應變 天寶 妹妹 妹妹 拜託 我兒子 天寶 快點 弟弟 我帶你過去找媽媽好嗎 媽媽 天寶 妹妹 快點 我的乖兒子 快 妹妹 我的乖兒子 妹妹 快放手 妳快放手 追上來了 放手 快 放手 來了,143.39,80
segment_7,采苓 媽媽對不起妳 妳打這支電話 找一位張先生 他會照顧妳 媽媽祝妳幸福 買報紙 你去那邊找 年輕人 買便當 滾開 來 乖 媽媽疼 虛驚一場 妹妹 找到妳媽媽了嗎 沒有 妳叫什麼名字 我叫采苓 妳的父母呢 我沒有爸爸 我媽媽… 我媽媽是不是不要我了 不會的 別這麼想 不會 別哭了 阿姨要謝謝妳 沒有妳的幫忙 天寶可能 現在和妳坐在月台上一塊兒哭 有沒有認識的親戚 阿姨幫妳連絡 我除了媽媽 不認識其他人 這下糟了 妳一個女孩子 這樣吧 待會兒火車到下一站 妳搭火車回上車的車站 或許妳媽媽已經在那裡等妳了 這樣好嗎 好 謝謝叔叔 不客氣 來 快 這兒坐 坤生 我覺得她真的很有可能 被媽媽拋棄 你現在要她回去怎麼找得到人 我是覺得 自己也很希望有一個女兒 別作白日夢了 我們光養天寶就很吃力了 妳還想多養一個啊 總而言之 看她從哪裡來就往哪裡去 就算她媽媽不來找她 警方也會處理 我們已經自身難保了 采苓 妳等等到對面月台 火車一來就上車 知道嗎 叔叔看妳很聰明 沒問題的 謝謝叔叔 采苓 妳自己保重,161.57,72
segment_8,好了 時間差不多了 我們上車吧,4.41,3
segment_9,"阿姨 采苓 叔叔告訴妳 妳找不到媽媽與我們無關 千萬別賴到我們夫妻身上 我們自己生活都有困難了 真的負擔不了妳 抱歉 天寶餓了 這個可以給他喝 妳要做什麼 連一個孩子都這麼懂事了 你這個大人 都不會感到慚愧嗎 我這一生凡事都聽你的 這件事 你得聽我的 火車站對我而言 是一個傷心地 因為我的生母 在那裡放開我的左手 可是火車站對我而言 也是一個重生之地 因為有一個溫柔的母親 牽起我的右手 給我一個家 李坤生 頭髮沒多少還要造型 拜託 做什麼造型啊 雖然我們常常得跑路 雖然我們得到處表演 很辛苦 雖然養父也有一些壞習慣 常常惹養母生氣 可是 他們都視我如己出般疼愛 讓我感受到滿滿的愛 可是 我依然會想起自己的生母 想問她 為什麼不要我 想問她 多年來 她過得好嗎 媽 妳可曾想起我 豬血糕 今天太晚了 快點 東西搬快一點 拜拜供品快拿出來 對 供品快擺上桌 三牲與壽桃擺前面 金銀財帛擺右邊 餅乾擺左邊 水果擺中間 妹妹 告訴妳 水果先擺香蕉 李子 梨子 鳳梨 後排擺蘋果與橘子 就代表 ""招你來旺"" ""平安又吉祥"" 小心 快點 當心點 阿嬌呢 在後面 後面的人叫阿嬌出來 拜天公的時間到了 大牌 妳總算出現了 主任 別糟蹋我了 什麼大牌 我只是一個開場小歌手 在我心目中 妳阿嬌是世界西餐廳之中 最明豔 最美麗 最大牌 這樣可以嗎 主任 別這樣 小老闆 經理 別這麼叫我 你管後台 我管舞台 職務同等重要 而且 你還比我年長 應該是我叫你麥可哥才對 不敢當 雖然我們工作一樣多 可是你是經理 我是主任 職務上 你還是高我一等 所以不必加""哥"" 叫我麥可就好了",310.0,106
segment_10,好了 別說這些了 吉時已到 差不多要拜拜了 萬事俱備 只欠最重要的東風 就是最偉大的老闆娘 你媽媽 誰說東風未到,15.26,9
