File ID,Transcript,Duration (s),Word Count
Kelantan_001_001_001_002,oh mek nab gi mano tu,2.4404375,6
Kelantan_001_001_001_003,jangok nengok,1.8265,2
Kelantan_001_001_001_005,bakpo sapo sakit,2.58325,3
Kelantan_001_001_001_007,ho bakpo ke dio,1.8725625,4
Kelantan_001_001_001_009,ho la bakpo nyakit gapo,2.71675,5
Kelantan_001_001_001_010,tok tahu kabar pung,1.611625,4
Kelantan_001_001_001_012,hoo eh hok mano ni hok alik mano ni,4.107,9
Kelantan_001_001_001_014,mek mek limoh ko,3.0708125,4
Kelantan_001_001_001_015,limoh dio ado hok dio ado anok tino nge anok jate kae hok mano so nih,6.5115625,16
Kelantan_001_001_001_017,anok jate dio pahtu gak accident alik mano,4.04175,8
Kelantan_001_001_001_019,pahtu gak,1.111625,2
Kelantan_001_001_001_022,jate pun pakai getoh rambut ko,2.40975,6
Kelantan_001_001_001_024,anok tino ko eh,1.601,4
Kelantan_001_001_001_025,ambo tok ingat mano doh mari tuo kae hoo,5.9399375,9
Kelantan_001_001_001_026,pahtu gak naek gapo naek muto ko naek kreto,4.0315625,9
Kelantan_001_001_001_028,oloh lah nayo ko dio,2.5113125,5
Kelantan_001_001_001_029,pahtu gak sapo wok gi spital,3.3264375,6
Kelantan_001_001_001_030,dio gi sore ko dio gi denga saing dio,2.47875,9
Kelantan_001_001_001_032,hoo lah ina nok oyak gapo lagi,3.9720625,7
Kelantan_001_001_001_033,mmm pahtu gak nok gi nok gi pukul brapo ni,4.1404375,10
Kelantan_001_001_001_036,eh tak pola kawe pun tok siap mano lagi ni,3.9410625,10
Kelantan_001_001_001_037,kim sale la tak pola kawe gi denge,3.385875,8
Kelantan_001_001_001_038,oh ni lah juwe lah anok anok anok kawe ah anok,4.1883125,11
Kelantan_001_001_001_039,kawe gi nga juwe lah,1.8220625,5
Kelantan_001_001_001_040,pahtu gak,0.88825,2
Kelantan_001_001_001_041,hospital mmano,1.837125,2
Kelantan_001_001_001_043,spital besar,0.9235,2
Kelantan_001_001_001_045,tak pola nok wak gano doh bendo nok jadi gak haritu pun banyok accident berlaku  haritu depe mato mari gak muto nga kreto,10.653625,23
Kelantan_001_001_001_046,kito ni bimbe la nok tubik mano pulok ni,3.5250625,9
Kelantan_001_001_001_047,harap ke harap ke juwe yo la hok lain tak dok doh,4.94875,12
Kelantan_001_001_001_048,tu pun oyak ko juwe buwak molek la juwe kalu nok tubik buke gapo,3.81225,14
Kelantan_001_001_001_049,ho la accident ni mano-mano bulih berlaku tapi,4.1270625,8
Kelantan_001_001_001_051,kito pulok serro takut tengok ore budok-budok mudo kae bawok kreto gano nyelit situ nyelit sini cari maut la,8.8741875,19
Kelantan_001_001_001_053,pahtu,1.0295625,1
Kelantan_001_001_001_054,tok tok perase ko,1.89825,4
Kelantan_001_001_001_056,tu la naek muto lo ni buke nok oyak naek muto gak bahayo la lo ni pahtu gak kalu tu oyak ko juwe tu,8.356,24
Kelantan_001_001_001_057,kalu kalu kito kalu mek,2.40325,5
Kelantan_001_001_001_058,kalu mek nok tubik mano pun nga juwe biar pun berduo naek kreto la juwe tok soh la naek muto jam pun jam lah,8.32725,24
Kelantan_001_001_001_059,ho mugo ho la takut kae,3.5265,6
Kelantan_001_001_001_061,mugo mugo ni kat alik roundabout tuh oloh sero takut la situ nok boleh lepah roundabout depe tuh,7.260625,18
Kelantan_001_001_001_063,gano,0.969,1
Kelantan_001_001_001_065,ho la jam tu kalu tok accident mari accident gak koho jam,3.9720625,12
Kelantan_001_001_001_066,tok ka duo jey nok sapa ko wakaf che yeh tuh,3.076625,11
Kelantan_001_001_001_067,tuh la gano traffic light pun demo-demo hok mudo-mudo ni main langgar gitu jah hoo,6.533,15
Kelantan_001_001_001_068,tahu lah budak-budak muda la ni,2.3350625,6
Kelantan_001_001_001_069,hey ambo nok oyak gapo tok tahu doh,2.569875,8
Kelantan_001_001_001_070,pahtu gak ambo ni sebenarnyo nok gi keda putuh lauk ni,4.8135,11
Kelantan_001_001_001_071,nok gi tengok kkeda pok mat gapo-gapo bulih masok,3.6325,9
Kelantan_001_001_001_072,pahtu gak mugo duo ore kae masok gitu yo la,4.2478125,10
Kelantan_001_001_001_074,masok la dok make luar pun serro ho la lauk samo boring,8.590875,12
Kelantan_001_001_001_075,pahtu gak masok la mugo duo ore duk nga juwe hok lain tak dok doh,4.957625,15
Kelantan_001_001_001_076,juwe pun,1.603625,2
Kelantan_001_001_001_077,kalu itu kalu kalu tok gi kijo baru ambo mmasok kalu kalu juwe kijo gak make sekuk yo la,7.1135,19
Kelantan_001_001_001_080,kalu beraso lapar make sekuk tok beraso lapar gak main nge tuo tok make mano banyok sangat,8.3685,17
Kelantan_001_001_001_081,eh mu ado dengar crito dok anok itu anok timoh nok gi ke oversea,6.2438125,14
Kelantan_001_001_001_083,anok hok dio kae ado duo ore anok jo hok pertamo tuh kae kijo doh hok nombor duo tuh,7.041625,19
Kelantan_001_001_001_085,hok anok jate dio ikhwe ko namo gapo gak bunyi nok gi oversea doh,6.349625,14
Kelantan_001_001_001_087,oh seronyo habih matrik dapat result comei ore panggil la kot gi oversea nyo,6.38225,14
Kelantan_001_001_001_088,tau gi mesir rasonyo gi buwak ni gapo duktor duktor,5.4645,10
Kelantan_001_001_001_090,hoo medic hoo kato,2.297375,4
Kelantan_001_001_001_091,tau panda la tu la,3.04925,5
Kelantan_001_001_001_092,kito pun oyak ko cucu-cucu kito la mugo anok kito pun ngaji biaso,5.33725,13
Kelantan_001_001_001_093,ngaji biaso biaso gini jah oyak ko cucu mmm tengok la anok timoh tuh bulih gi oversea,6.2196875,17
Kelantan_001_001_001_094,mitok-mitok la cucu ambo ni sore pun,3.612625,7
Kelantan_001_001_001_096,hok mano anok timoh tuh,1.83975,5
Kelantan_001_001_001_097,anok bongsu dio ado duo ore anok jo,3.19925,8
Kelantan_001_001_001_099,tu la pakat-pakat tubik blako doh budok lo ni cerdik doh,5.2029375,11
Kelantan_001_001_001_100,tak tau kito hok tuo ni tau nok nyembe nok kecek nga demo ni malu mugo,6.8265,16
Kelantan_001_001_001_101,napok cerdik sangat etek,1.9203125,4
Kelantan_001_001_001_103,tak po lah gano nih anok demo sihat ko,5.698,9
Kelantan_001_001_001_104,dengar dok putrajaya doh lo ni,1.9781875,6
Kelantan_001_001_001_105,tok gi sano ko,1.57925,4
Kelantan_001_001_001_107,tuh gi sore ko gano,2.10025,5
Kelantan_001_001_001_109,cekak lo ni demo jale deh,2.4580625,6
Kelantan_001_001_001_110,umur brapo doh demo lo ni,2.6375625,6
Kelantan_001_001_001_113,cekak ambo tok cekak la nok gi mano pun,2.930625,9
Kelantan_001_001_001_114,ah ni anok ambo hok dok alah ko gapo tuh,3.9645,10
Kelantan_001_001_001_116,sokmo kato ma mek bilo nok mari sini mmm,4.432,9
Kelantan_001_001_001_117,nok mari gano naik bas sakit urat pahtu nok naik ko tiket flight mahal kato tak pola mek tunggu balik kapung la mu mari sini la,8.7185625,26
Kelantan_001_001_001_118,tok cekak,1.4653125,2
Kelantan_001_001_001_120,kreto api,0.9829375,2
Kelantan_001_001_001_122,tok sey la ambo sakit pinggey sakit gapo,2.99475,8
Kelantan_001_001_001_123,cari nyakit,2.1165625,2
Kelantan_001_001_001_124,puah naik kreto api brapo jey nok bulih sapa tuh,6.406625,10
Kelantan_001_001_001_126,tapi gak maso dio lamo nok bulih sapa tuh lebih spuluh jey,4.6926875,12
Kelantan_001_001_001_127,eh tok cekak kito,2.027,4
Kelantan_001_001_001_129,mmm tu la tok po la oyak ko anok ambo tuh kalu tuh ambik lah tiket kapal terbe ko flight ko,11.225875,21
Kelantan_001_001_001_130,ore atar ore tunggu,2.7515,4
Kelantan_001_001_001_131,ni anok ambo sokmo oyak,2.8715625,5
Kelantan_001_001_001_132,ni gapo order awal order awal gapo tahu ambo,3.500875,9
Kelantan_001_001_001_133,ambo nok oyak gapo,1.2210625,4
Kelantan_001_001_001_134,airasia hok mano order awal tuh hoo,3.5004375,7
Kelantan_001_001_001_136,alhamdulillah la mitok-mitok pun hok molek la demo-demo tuh kito ni buke ado gapo sangat hok,7.14075,16
Kelantan_001_001_001_137,harap make duit anok yala lo ni tak dok kijo gapo doh mugo,4.7001875,13
Kelantan_001_001_001_138,ho la abe pun tak dok doh,2.6070625,7
Kelantan_001_001_001_139,juwe pun kijo biaso kijo kapung jah,3.7528125,7
Kelantan_001_001_001_140,nulung-nulung gitu la adik beradik hok lain,4.2005625,7
Kelantan_001_001_001_142,kito kecek kecek lamo sini nok gi hospital doh ko mek,3.83425,11
Kelantan_001_001_001_143,nunggu sapo lagi,1.628125,3
Kelantan_001_001_001_144,hoo kim sale lah,2.3119375,4
Kelantan_001_001_001_146,hoo kim sale lah,1.8071875,4
Kelantan_001_001_001_147,tuh la dok sekapung jah tuh la,4.1963125,7
Kelantan_001_001_001_148,naik sejid pun tok napok ko muko demo mugo ramai kae tok kae nok kelih so-so,6.2275625,16
Kelantan_001_001_001_150,tak po lah mek moleklah jale deh,2.857375,7
Kelantan_001_001_001_152,ok bye mek,1.9366875,3
Kelantan_001_001_002_002,oh nok gi spital ni,3.173125,5
Kelantan_001_001_002_004,nok gi tengok anok itu anok hok duduk ah sbeloh rumoh,4.8573125,11
Kelantan_001_001_002_006,oh ni anok dio masuk spital etek,3.5871875,7
Kelantan_001_001_002_008,accident sakni,2.3188125,2
Kelantan_001_001_002_011,anok anok nombor duo,2.5385,4
Kelantan_001_001_002_013,oh hok tu lah,1.65975,4
Kelantan_001_001_002_015,anok nombor duo,1.903875,3
Kelantan_001_001_002_016,hok sulong tu anok jate dio,2.1664375,6
Kelantan_001_001_002_018,accident depe rumoh ni jale dio nok litas,4.297375,8
Kelantan_001_001_002_019,dio nok amik getoh rambut dio pahtu kreto mari gak,5.0451875,10
Kelantan_001_001_002_021,anok jate anok sulong dio hok nombor duo hok tino mek limoh tue,5.161125,13
Kelantan_001_001_002_023,dok dio nok litas jale,2.606125,5
Kelantan_001_001_002_025,pahtu getoh rambut dio jatuh pah dio nok gi kutip la,4.199375,11
Kelantan_001_001_002_026,ttepuh di kreto,1.9781875,3
Kelantan_001_001_002_028,kreto tue la kreto tue bowok gi spital nyo,3.54025,9
Kelantan_001_001_002_029,ore-ore mari tengok tue,2.7759375,4
Kelantan_001_001_002_030,pah demo akak tok dale kkreto demo wok gi spital,4.6726875,10
Kelantan_001_001_002_031,mujur kreto tue tok laju kalu laju gak tok tahu lah terebe,5.2194375,12
Kelantan_001_001_002_033,ho nok gi lah ni duk siap-siap ni ah demo nok ikut ko,4.6864375,13
Kelantan_001_001_002_035,spital spital besar lah spital besar,2.6375625,6
Kelantan_001_001_002_037,tu pok loh blake rumoh ambo tu dio nok tubik denga bini dio,3.7833125,13
Kelantan_001_001_002_038,dio tubik naek muto la pahtu tubik sipe tue kreto mari derah,4.9305,12
Kelantan_001_001_002_042,dio tok tengok etek,2.11475,4
Kelantan_001_001_002_043,mujur,1.4325625,1
Kelantan_001_001_002_044,mujur keno siket yo la siku-siku gitu yo la luko gitu ho,6.2926875,12
