wav	words	duration
sarawak-01-1.wav	zul ada sik kitak nangga dalam astro nak chak-chak apa ntah	6.37
sarawak-01-2.wav	pureen chak-chak ya kah	1.7
sarawak-01-3.wav	aok rozita che wan ngan zain ya eh	1.76
sarawak-01-4.wav	sik pernah kamek nangga	0.96
sarawak-01-5.wav	ya allah sik kamek bukanlah nak nganok	2.53
sarawak-01-6.wav	nakpa nak best nya	1.42
sarawak-01-7.wav	sik kamek rasa macam semua benda pun nya perlu nak cover	4.31
sarawak-01-8.wav	nya nak nunjok semua	0.97
sarawak-01-9.wav	daripada perut nya kecik sampey perut nya besar lepas ya beranak ya juak rozita che wan tek bermekap setiap saat lah bermekap	10.0
sarawak-01-10.wav	nama lah artis	1.32
sarawak-01-11.wav	tauk lah kamek nya artis tek nak	1.4
sarawak-01-12.wav	mesti maok kacak	1.32
sarawak-01-13.wav	tapi macam kadang-kadang mun benda kedak ya bukan lah kita sik puas ati tapi macam meluat juak lah tapi rozita che wan ngan zain ya nya sik tauk apa-apa pun nya macam aok jak lah nak mun orang nyuroh nya gya gitok nak pasya tek nak kamek nangga juak lah benda-benda cam ya tek	15.26
sarawak-01-14.wav	tapi nya nganok tapi nya maok nangga juak	2.55
sarawak-01-15.wav	tangga jak lah apa yang seterusnya nak pasya tek nak semua sponsor lah daripada nya pegi jumpa doktor sampey nya pegi  apa nama nya tek  aqiqah	12.72
sarawak-01-16.wav	aok aqiqah aqiqah anak ada juak ditunjok	2.98
sarawak-01-17.wav	ya allah aqiqah nya eh tauk sik kambin seekok-ekok ya nak diengkah nya di atas ya macam benda ya macam kamek bukan lah sik setuju tapi nya menyebabkan orang tok  macam ney nak madah ngan kitak owh 	12.28
sarawak-01-18.wav	riak kah	0.88
sarawak-01-19.wav	ya riak lah kamek rasa	2.02
sarawak-01-20.wav	ngeso lah	2.02
sarawak-01-21.wav	macam ya oh ney tek oh rozita che wan tek nak nya madah nya berpantang pasya nak pantang apa benda belum gik aku ngira waktu bila nya tek beranak nak empat puloh hari nya beranak belom empat puloh hari gik lalu pegi london nangga twitter nya  aih pegi london   camney nya boleh pegi london sedangkan nya tek berpantang	19.21
sarawak-01-22.wav	ya duit dah dibrik astro banyak boleh jak lah pegi pantang sik pantang	4.3
sarawak-01-23.wav	anak nya dapat job nangga ko anak baruk brapa umo brapa bulan dah dapat job pegi london sign kontrek oi	6.49
sarawak-01-24.wav	orang kaya kin kaya jadinya	2.37
sarawak-01-25.wav	apa nama pureen chak-chak tek pasya tauk sik kitak nk berkelaie ya eh nk si apa nama nya ya lara nak anak si	7.72
sarawak-01-26.wav	oh anak scha ngan awal ya	1.76
sarawak-01-27.wav	aok nya duak tok tek rasa macam sedih dan rasa kecik ati dengan astro sebab sik tauk lah kamek	6.93
sarawak-01-28.wav	nya sik di lalek sik dapat	3.08
sarawak-01-29.wav	orang membandingkan anak nya anak nya sik kacak anak si rozita che wan tek kacak padahal nemiak jak pun semua kiut nak	6.32
sarawak-01-30.wav	siapa suroh ko beranak time sama juak ney ndak jadi giya	2.89
sarawak-01-31.wav	siapa gik beranak seterusnya tek nak pakey engkah kat pureen chak-chak ya tek siapa gik kitak rasa ayu raudhah adik si rozita che wan tedah sik juak ada apa-apa nya ada kelua dalam majlis jak apa nama dalam program nama program ya majlis dalam astro nya macam setiap majlis yang ada dekat di malaysia yang melibatkan artis lah so nya masoklah dalam program ya	28.52
sarawak-01-32.wav	apa jak yang dimain program ya nya ngeso apa	2.98
sarawak-01-33.wav	ngeso majlis eh macam ney orang mengendalikan majlis	3.16
sarawak-01-34.wav	macam majlis dak aqiqah semua yakah	1.4
sarawak-01-35.wav	sik kisah tapi kesian juak lah ayu raudhah tek sik lah glamor gilak tek nak sikda masok pureen chak-chak	4.83
sarawak-01-36.wav	ney dapat lawan kakaknya	1.22
sarawak-01-37.wav	aok lah tek mun siti nurhaliza gney ndak kah owh bukannya pureen chak-chak gik dolok start daripada erra fazira zaman dolok start daripada erra fazira ingat kitak  apa namanya tek  	10.27
sarawak-01-38.wav	aok kakya sik giney-giney nak cerei juak ujong-ujongnya kesian juak nangga miak ya dipolah nya macam ya	6.05
sarawak-01-39.wav	kakya sedih nangga nak recording sidak beranak dolok-dolok	6.54
sarawak-01-40.wav	aok eh mun nya nangga dirik pun balit nangga benda ya pun daknya rasa macam “kenak aku molah benda ya dolok owh” mesti nya ada rasa nyesal juak bah	7.82
sarawak-01-41.wav	aok eh pasya kitak tauk sik rozita che wan nak madah nya nak beranak agik	3.6
sarawak-01-42.wav	gik dapat kah umo dah brapa	2.45
sarawak-01-43.wav	sik nya nak branak terus nya sik akan makan apa-apa gik terus beranak kerana tek zain tek maok anak duak orang	7.55
sarawak-01-44.wav	anak nya sebelum tok brapa orang owh	1.84
sarawak-01-45.wav	duak laki duak-duak skarang tok pompuan tek nak si zain maok anak lagik	4.74
sarawak-01-46.wav	owh sorang agik lah	1.75
