file,start,end,words
seg_001.wav,0.000,6.871,"Assalamualaikum. Uh, boleh nenek ceritakan sedikit cerita tentang nenek pada zaman dahulu?"
seg_002.wav,7.888,9.377,Waalaikumsalam…
seg_003.wav,11.129,30.589,"Dolok, zaman kamek orang ada adat macam syirik lah. Nya… Kepercayaan orang zaman dolok tentang… Ngantar ancak kata kamek orang Ngantar ancak tok macam pemujaan laut."
seg_004.wav,32.491,36.075,Orang ya jaga kampung… Jaga laut…
seg_005.wav,37.149,39.523,Syirik bah zaman dolok…
seg_006.wav,43.554,57.789,"Ada orang tua... Kak ya orang-orang kampung tok tek disuruh polah pulut kuning, letak telur. Polah macam perauk kak ya dihantar ke laut."
seg_007.wav,63.309,74.749,Boleh nenek bagitahu siapa teman-teman atau kawan-kawan nenek yang terlibat dalam cerita ini?
seg_008.wav,75.861,78.140,yang terlibat biasanya…
seg_009.wav,80.306,86.196,Sorang nang… macam bomoh lah. Ketua
seg_010.wav,89.135,97.501,"yang akan memulakan pemujaan ya… Pas ya, orang-orang kampung lah."
seg_011.wav,102.851,111.397,Hm… boleh nenek bagitahu tujuan utama perkara itu dilakukan?
seg_012.wav,113.187,123.759,Tujuannya untuk menjaga kampung… Hm… Jaga laut… Jaga kampung dari ancaman musuh lah.
seg_013.wav,125.417,127.187,Keselamatan kampung…
seg_014.wav,132.764,139.882,Boleh nenek bagitahu adakah perkara ini masih berlanjutan sehingga kini?
seg_015.wav,140.598,142.369,Kinek tok sikda agik…
seg_016.wav,145.609,153.153,Boleh nenek bagitahu sebab perkara itu tidak dilanjutkan sehingga kini?
seg_017.wav,155.376,170.106,Sebab kinek tok.. Orang dah lebih… Hm… Lebih dengan… Dah paham dengan agama tok. Dolok… Nya sikda macam
seg_018.wav,172.857,177.597,ne oh… Agama dolok…
seg_019.wav,178.916,190.144,Dolok orang dolok kurang nokya dengan agama… Kinek tok orang lebih taat gik dengan agama… Kepercayaan dengan agama Islam…
seg_020.wav,195.023,204.813,Boleh nenek bagitahu apakah pengajaran yang nenek dapat daripada perkara yang nenek lakukan pada zaman dahulu?
seg_021.wav,207.733,221.870,Benda ya syirik… Kita sik boleh percaya sebab kuasa Allah tok lebih segala-galanya daripada kepercayaan yang karut macam ya…
seg_022.wav,225.619,232.796,"Uh, boleh nenek bagitahu dalam banyak-banyak peristiwa, kenapa peristiwa itu yang lebih nenek ingat?"
seg_023.wav,236.564,241.958,"Sebab seronok time ya… Masak pulut kuning, makan dengan telur…"
seg_024.wav,243.710,247.176,rami-rami ngantar benda ya ke laut…
seg_025.wav,249.926,251.716,Macam pesta juak lah…
