file,start,end,words
seg_001.wav,0.000,1.286,"assalamualaikum, nek."
seg_002.wav,2.138,3.787,waalaikumsalam.
seg_003.wav,3.787,6.509,aritok kamek mok interview kitak pake assignment mek.
seg_004.wav,7.967,13.885,Soalan mek pertama ialah kitak tauk cerita tradisional sik?
seg_005.wav,13.885,19.961,cerita di tauk nenek kah? Sikit sikit lah cerita penarik becha.
seg_006.wav,19.961,22.507,watak dalam cerita ya nek? Nama orang ya?
seg_007.wav,22.507,26.529,Nama nyo P.Ramlee dalam cerita ya Amran.
seg_008.wav,26.529,27.723,Jalan cerita ya?
seg_009.wav,27.723,30.956,Cerita macam seorang penarik beca miskin dengan orang kaya.
seg_010.wav,32.554,35.118,Pengajaran yang kitak dapat dari cerita ya?
seg_011.wav,35.118,47.902,"Pengajarannya nak macam nya kira nasihat lah, macam orang kaya nya sik suka nyuroh anaknya tek bekawan ngan orang penarik beca ya tek."
seg_012.wav,49.413,51.352,yang paling kitak ingat dalam cerita ya nek?
seg_013.wav,52.212,56.550,paling ingat tek kah? Ya lah sorang P.ramlee ya tek amran ya tek nak
seg_014.wav,57.691,64.944,nya tek orang miskin. Tiba tiba tek datang orang jahat ya tek ngagak si apa nama ya nak
seg_015.wav,65.857,86.309,"nak merompak orang tua ya. Duit orang tua ya. Ya datang orang miskin ya tek amran, nya la nulong nya. akhe akhe cerita nya tek nak pendek ajak lah, akhe akhe cerita nya amran ya lah jadi menantu orang kaya ya tek. Nak merompak ya tek yang disuka oleh orang tua kaya tek alu ditangkap oleh polis."
seg_016.wav,86.309,88.577,"ohh, dolok main game sik nek?"
seg_017.wav,88.577,89.683,ada
seg_018.wav,89.683,90.674,game apa kitak main ?
seg_019.wav,91.685,94.267,apa kata orang tua dolok tek? Main jengkek.
seg_020.wav,94.267,96.462,ohh... Camne cara main ya?
seg_021.wav,96.462,96.901,hah
seg_022.wav,96.901,97.937,camne cara main
seg_023.wav,97.937,112.279,"Main jengkek ya kita ada buah kita nak. Kakya macam kita molah petak di... nakya tek eh macam rah tanah ya eh. Di line kita tek, di line kita tek nak main jengkek la kita tek."
seg_024.wav,112.279,112.911,camne
seg_025.wav,112.911,114.983,Dah kita ngambik buah ya kita sik boleh diat.
seg_026.wav,115.931,120.023,Aa... Kita ngambik dari belakang. Tangan kita ke belakang sik boleh nangga.
seg_027.wav,121.305,122.851,Mun kita nangga ya kalah?
seg_028.wav,122.851,128.790,"Sik, mun kita nangga ya tek nya sik kalah dapat buah ya juak. Jangan kita ngambik buah orang."
seg_029.wav,129.932,131.600,"Mun kita ngambik buah orang, kalah la kita tek."
seg_030.wav,131.600,134.954,Berapa orang main dalam sigek game ya?
seg_031.wav,134.954,135.481,hah
seg_032.wav,135.481,136.412,brapa orang main dalam
seg_033.wav,136.412,137.307,Sampe empat orang.
seg_034.wav,137.307,138.449,oh empat orang
seg_035.wav,139.924,143.348,"Kenak kitak suka main game ya dolok nek? Kenak kitak suka main, main.."
seg_036.wav,143.348,145.930,Ya kira sukan kita dolok bah.
seg_037.wav,145.930,150.127,oohh...okay lah nek yajak soalan mek. Makseh.
seg_038.wav,150.127,150.935,masama
