file,start,end,words
seg_001.wav,0.000,4.560,"Okey. Jadi seterusnya tok, kamek mok nanyak gik"
seg_002.wav,5.420,16.010,boleh sik kitak kongsi dengan kamek permainan yang kitak pernah main dolok yang menarik yang best?
seg_003.wav,16.695,23.897,Okey. Permainan yang pernah kamek main dolok yang kamek rasa best adalah permainan congkak.
seg_004.wav,24.634,42.734,"Dalam permainan congkak tok, nya ada duak orang pemain jak. Congkak ya mun kita tangga nya ujong-ujong nya ada lubang besar. Lubang besar di ujong-ujong congkak duak igek ya, ya kita namakan nya sebagai ‘rumah’."
seg_005.wav,44.332,72.267,"Dalam permainan congkak tok, mana-mana pemain boleh mulakan dolok mun sidak maok. Contoh, sorang pemain nya akan mula dolok nya boleh pilih guli dalam mana-mana lubang dari belah nya mpun. So, bila nya tengah main-main sampe lah nya sampe dekat gulinya sampe dekat lubang yang kosong."
seg_006.wav,73.110,110.852,"Bila nya dah sampe dekat lubang yang kosong ya nya dikira perlu berenti dan berik jalan untuk pesaing nya untuk meneruskan permainan nya. Jadi pesaing nya akan mula untuk main congkak ya dan peraturan nya adalah sama. Pesaing nya pun akan berenti dekat lubang yang kosong juak. Bila nya dah guli terakhir nya berenti dekat lubang yang kosong, so sidak akan teruskan and sampe ujong nya guli ya akan dihitung dekat rumah masing-masing ya."
seg_007.wav,111.519,121.769,Ada duak belah rumah masing-masing ada duak igek lubang besar. Jadi kita akan hitung guli dalam ‘rumah’ dua igek ya.
seg_008.wav,122.208,127.143,Sapa yang dapat guli yang paling banyak nya dikira sebagai pemenang.
seg_009.wav,128.354,132.990,"Pada pendapat kitak nak, seronok sik permainan congkak tok?"
seg_010.wav,133.974,139.655,Kamek rasa nya best sebab aura persaingan nya sangatlah kuat.
seg_011.wav,140.832,151.907,Oh! Wow! Menarik game dolok-dolok oh. Makseh dengan kitak sebab dah tolong kamek. Makseh banyak-banyak.
