file,start,end,words
seg_001.wav,0.451,8.371,"Assalammualaikom, nek kitak tauk apa-apa permainan tradisional ka nek nak dimain kitak dolok-dolok."
seg_002.wav,8.371,9.705,Waalaikomsalam
seg_003.wav,10.373,45.619,"tauk sigek jak mainan nak selalu mekrang main dolok nak senang dicarik yalah dam haji nektok catur padah orang nak sebab nya lebeh kurang kedakya lah. Mainan mekrang dolok sik mahal ko ngambik papan goreskan itam putih kakya tek eh dam ya yatek pake palak botol menet, nektok susah nak dapat botol menet ya. Mun wana puteh tebalit mun wana itam ya kelak tungkup kannya. Bila nya dah jadi raja ya kata orang jadi nait haji double nyaman kita membezanya."
seg_004.wav,46.620,58.386,"Tapi mekrang main ya sik susah kedak catur ya, main langkah-langkah jak dapat Langkah mati orang ya. Main game tok sik rami orang, duak orang ajak."
seg_005.wav,59.422,76.504,"Cara dapat point ya, sik la susah Langkah kita mati orang ya point kita lah ya, kata kita dapat langkah sampe ujung jadi haji. Time jadi haji ya sukati kita melangkah sepuloh egek ka, duak puloh egek ka tapinya sikda check mate ko."
seg_006.wav,77.329,78.049,Tapi yalah
seg_007.wav,78.839,115.362,"mainan ya dah sik ditangga biak agik kali nedak kinektok semua dah ada tenet. Tapi masa pake main game ya ekot orang la, ada orang main game ya lamak tok ko sigek sesi ya nedak tere gilak time ya tek, ada juak bila orang ngakuk kalah alu lah tek kalah lah orang ya. Yalah kmk suka main game tok segal nya senang sik pelu pake apa-apa bah, barang tebuang palak botol menet. Nak yajak pake mekrang dolok. Nektok macam-macam main kita nak ohh."
seg_008.wav,115.362,118.155,"Ohh, yalah kitak suka main game ya tek nek ?"
seg_009.wav,119.454,120.104,Aok
seg_010.wav,120.701,129.056,"senang best bah main ya. Dolok ompuan suka main selemban, nenek sik suka. Main dam best."
seg_011.wav,129.056,131.093,"Ohh, makseh nek."
seg_012.wav,131.093,133.054,Sama-sama.
