file,start,end,words
seg_001.wav,0.541,6.438,Okay skarang tok kamek nak nanyak kitak pasal permainan gik. Permainan apa yang kitak selalu main dolok nek?
seg_002.wav,6.739,9.038,Kamek selalu main jengket.
seg_003.wav,9.038,11.656,Jengket? Macam ne cara main jengket?
seg_004.wav,12.108,18.174,"Main jengket ya macam kita.. Uhh apa tek. Dero di tanah, kita polah macam rumah."
seg_005.wav,18.174,18.739,Okay
seg_006.wav,18.739,32.683,"Untuk kita, apa tek, melompat-lompat. Kak ya kita ambik macam batu kah apa kah untuk kita baling di palak yang kita taroh di tempat kita bermain ya."
seg_007.wav,32.683,34.585,Selalunya berapa orang yang main?
seg_008.wav,35.169,43.023,Salunya ada empat. Tapi kita yang bermain pertama tok sorang2. Bila nya tok dah sampe ke atas… bermakna nya dah menang nak.
seg_009.wav,43.023,43.625,Oooh
seg_010.wav,43.625,45.959,Sorang agik start dari bawah gik…
seg_011.wav,46.505,50.725,macam. Maksudnya bila kita dah sampe di atas ya kita mok tauk kita menang lah?
seg_012.wav,50.725,51.140,Aok
seg_013.wav,51.140,52.873,Macam ne kita mok tauk kita kalah?
seg_014.wav,53.419,59.048,"Mun kita kalah, macam kita tek kan ada lompat macam tok, kita sikda melompat nak ambik buah ya tek."
seg_015.wav,59.801,62.062,Ooh maksudnya nya macam tergugok kah?
seg_016.wav,62.062,65.412,"Ah tergugok. Macam kita ambik buah nya sik dari depan,"
seg_017.wav,65.412,65.864,Hmm
seg_018.wav,65.864,70.517,nya dari belakang. Macam tunjuk di belakang macam tok. Kita sik nampaknya.
seg_019.wav,70.781,75.133,Ooh okay. Kenak kitak suka main permainan tok dolok?
seg_020.wav,75.133,78.429,Memang permainan ya popular kata orang tua dolok.
seg_021.wav,78.429,79.974,"Ah, ok. Trimak kasih…"
seg_022.wav,79.974,80.666,Sama-sama.
