file,start,end,words
seg_001.wav,0.486,8.388,Hi. Nama kamek Sofia. Kamek mok temuduga kitak untuk menceritakan cerita traditional yang kitak tauk ataupun kitak minat. Boleh sik perkenalkan dirik kitak?
seg_002.wav,9.003,16.835,"Nama kamek Ganti binti Julaihi. Berumur 60 tahun dan berasal dari Kuching, Sarawak."
seg_003.wav,17.450,20.924,Soalan satu. Apakah nama cerita tradisional yang kitak tauk?
seg_004.wav,21.855,27.457,Cerita traditional yang kamek tauk adalah sang kancil dengan buaya.
seg_005.wav,27.826,30.829,Soalan dua. Berapakah watak di dalam cerita ya?
seg_006.wav,31.355,37.426,Ada dua watak dalam cerita tok iaitu sang kancil dan buaya sebagai watak utama.
seg_007.wav,37.988,40.850,Soalan tiga. Bagaimanakah jalan cerita ya?
seg_008.wav,41.517,97.640,"Cerita tok bermula dengan sang kancil yang gik berjalan-jalan di dalam hutan mok carik makanan. Disebabkan kat kawasan tempat diam nya tek kurang makanan, sang kancil pun mok pergi carik makanan kat luar kawasan. Lepas nya dah kepak, lamak gilak berjalan carik makanan ya, akhirnya berjumpa juak kebun buah yang dah masak kat seberang sungai. Sang kancil pun terus carik idea macam ne cara nya mok limpas sungai ya. Alu nya nangga si boyak gik berjemur kat tebing sungai ya. Trus nya kelaka ngan si boyak ya tek. Nya gunakan akal nya pakey nya bulak si boyak tek dengan padah nya raja sulaiman suruh nya kira berapa ekor boyak dlm sungai ya sebab raja sulaiman ya mok berik hadiah dgn boyak-boyak ya tek."
seg_009.wav,98.448,151.825,"Si boyak dengar jak nama raja sulaiman lalu nya takut sebab nabi sulaiman dah diberik kebesaran dari Allah pakey memerintah semua mahluk di muka bumi tok. Trus si boyak ya tek ikut jak kata sang kancil dengan nunggah semua boyak yang ada kat siya dan sidak pun bersusun dari tebing sebelah tempat sang kancil sampe tebing seberang sungai. Sang kancil pun melompat-lompat atas boyak sambil kira boyak kat siya. Dah sampe kat tebing sebelah sungai tek, trus sang kancil gembira dapat makanan banyak kat kebun ya. Lepas nya dah berjaya bulak si boyak tek. Lepas ya si boyak pun berjanji nya sik kan lepaskan sang kancil lepas tok sebab dah manas kenak bulak macam ya."
seg_010.wav,152.387,156.110,Soalan empat. Apakah latar cerita yang digunakan?
seg_011.wav,156.110,158.937,Berlatarkan di dalam hutan dan sungai.
seg_012.wav,159.306,163.029,Soalan lima. Apakah pengajaran yang kitak dapat dari cerita ya?
seg_013.wav,163.978,169.565,Pengajaran nya adalah iboh mudah gilak percaya perkataan orang lain macam ya jak.
seg_014.wav,170.250,175.800,"Yang terakhir, soalan enam. Apakah yg kitak akan teringat mun terimbas kembali dengan cerita ya?"
seg_015.wav,176.414,184.859,Kamek paling teringat apabila sang kancil dapat bulak si boyak dengan cara dirikpun pake selesaikan masalahnya.
