file,start,end,words
seg_001.wav,0.000,8.906,"Assalamualaikum. Uh, boleh nenek bagitahu satu permainan yang selalu nenek mainkan pada zaman kanak-kanak nenek dahulu?"
seg_002.wav,9.810,13.597,Dolok kamek org suka main diau. Diau
seg_003.wav,15.801,18.773,Main diau macam… Seronoklah.
seg_004.wav,26.007,30.279,Boleh nenek bagitahu macam mana langkah-langkah permainan tersebut?
seg_005.wav,31.146,38.606,Langkahnya… Mulanya buat petak segi empat sama. Lepas ya
seg_006.wav,40.056,45.511,ada jaraknya untuk membalingkan mainan ke dalam petak ya.
seg_007.wav,51.652,54.060,Apakah syarat-syarat permainan tersebut?
seg_008.wav,55.172,59.241,Syaratnya mesti main lebih daripada sorang…
seg_009.wav,61.012,62.930,Kak ya mempunyai
seg_010.wav,64.889,66.905,mainan ya lah pakey
seg_011.wav,67.696,69.316,bahan pertaruhannya…
seg_012.wav,73.819,77.578,Bagaimana cara untuk menang dalam permainan tersebut?
seg_013.wav,80.422,86.978,"Mun kita tikam mainan ya dekat petak ya, lepas ya kawan kau sebut tembak"
seg_014.wav,88.109,91.567,tikam benda ya dengan tepat… Mun ke depan
seg_015.wav,93.432,94.958,tikam kau… Menang lah.
seg_016.wav,100.233,106.479,Berapakah kira-kira masa yang diperuntukkan untuk bermain permainan tersebut?
seg_017.wav,109.343,111.264,Untuk satu game ya…
seg_018.wav,113.336,118.535,Makan masa dalam lebih kurang lima minit lah.
