file,start,end,words
seg_001.wav,0.409,4.290,"Kisah kehidupan marik. Zaman marik, barang murah-murah"
seg_002.wav,5.176,6.532,tapi senang didapat.
seg_003.wav,8.604,10.206,Nang mak pernah berjual.
seg_004.wav,10.865,14.181,"Berjual barang-barang, kuih-muih, jual eskrem"
seg_005.wav,15.235,16.705,dengan harga yang murah lah.
seg_006.wav,19.719,25.555,"Sikda makey sterika elektrik, makey sterika berarang."
seg_007.wav,26.648,33.750,Manas kain baju makey sterika arang. Sikda makey elektrik. Marik sikda bertelepon. Sikda ber-tv.
seg_008.wav,34.880,37.216,"Terpaksalah tidur malam makey gas,"
seg_009.wav,38.271,40.419,"makey pelita, makey dian."
seg_010.wav,41.210,42.453,Camya lah orang zaman marik.
seg_011.wav,43.113,46.413,Apa cabaran yang kitak lalui pada zaman marik?
seg_012.wav,49.164,56.304,Cabaran waktu zaman marik. Ya lah susah aik sikda… terpaksa nunggu sidak JKR ngantar aik.
seg_013.wav,57.114,65.652,"Gi kat simpang, terpaksa ngambik aik. Mandik makey aik telaga… minum kadang-kadang makey aik ujan mun nunggu org JKR lambat ngantar aik."
seg_014.wav,66.499,67.893,Ya cabaran yang paling susah.
seg_015.wav,68.835,70.079,Jalan mencarik aik.
seg_016.wav,71.906,76.201,jadi kitak orang nang ada telaga dirikpun lah riya?
seg_017.wav,76.201,78.631,Telaga ya nang dipolah dirikpun khas pakey mandik.
seg_018.wav,79.498,90.001,"Ya pun telaga ya mun aik hujan, kadang-kadang telaga ya penuh hari banjir, terpaksa di masuk aik masin. Ya telaga khas pakey mandi."
seg_019.wav,91.489,96.223,Telaga ya uh.. Sine? Nang dipolah belakang rumah kitak kah kedak ne?
seg_020.wav,96.223,98.578,Nang dipolah belakang rumah khas pakey mandik.
seg_021.wav,98.578,99.351,oh…
seg_022.wav,99.351,109.316,Pabila ada aik banjir… Aik masuk ke dalam telaga lah. Ya lah aik telaga ya jadi masin. Ya cabaran yang paling pahit lah. Kamek mandik aik masin.
seg_023.wav,110.899,119.919,"untuk jadi zaman… Uh, sepanjang kehidupan kitak zaman dolok nak, apa pengalaman bait atau buruk yang kitak dapat?"
seg_024.wav,121.709,150.405,"pengalaman bagus nya… berjual tok, dapat mendatangkan hasil. Walaupun barang marik murah, tapi bila berjual, dapat mendatangkan hasil dengan pengalaman bagus. Pengalaman pahit ya, ya lah mandik aik telaga masin…  Terpaksa susah sikda beraik. Terpaksa nunggu org berik aik, JKR ngantar aik. Mun JKR ya sik ngantar aik terpaksa nyalut aik ujan pakey makan minum. Ya pengalaman pahit."
seg_025.wav,151.837,156.462,"Okay, apa yang paling kitak ingat kisah kitak zaman dolok marik?"
seg_026.wav,157.780,167.765,"yang paling kamek ingat zaman dolok marik, waktu hari raya, terawih senang nak pergi ke surau, senang nak ngaji malam-malam sik susah. Dolok marik zaman selamat."
seg_027.wav,168.481,173.370,"Kadang-kadang waktu malam org berjual suntung tutok lah, dolok marik barang murah."
seg_028.wav,173.879,180.416,Nak berbeli senang ke jeraya org berjual. Tapi kinek tok susah berjual barang macam ya. Barang kinek tok mahal juak.
seg_029.wav,181.320,186.802,Ya pengalaman yg paling diingat lah. Pasal waktu hari raya ya
seg_030.wav,187.537,189.549,orang berjual dak suntung di jeraya.
seg_031.wav,190.811,194.781,"Nak ngaji, nak ya senang. Malam"
