file,start,end,words
seg_001.wav,0.548,10.443,": Hi, nama kamek Sofia. Kamek mok temuduga kitak untuk menceritakan permainan yang kitak suka main — sama ada permainan traditional ataupun moden. Boleh sik perkenalkan dirik kitak."
seg_002.wav,11.585,18.960,"Nama kamek Nurhafizah binti Safiee, berumur 24 tahun dan berasal dari Kampung Mang, Kota Samarahan, Sarawak."
seg_003.wav,20.337,23.738,"Soalan satu, apakah nama permainan yang kitak suka main?"
seg_004.wav,24.621,28.664,Kamek suka main mobile legend di talian kat telefon.
seg_005.wav,29.885,33.131,"Soalan duak, bagaimanakah cara kitak main permainan ya?"
seg_006.wav,34.533,96.518,"Setiap anggota akan membina hero dan mesti menjaga menara sebab ya adalah pertahanan utama. Masa bertempur bergantung dgn berapa lamak untuk musnahkan menara dan pengkalan musuh. Setiap pasukan bertempur untuk sampe ke pangkalan musuh dan memusnahkan sambil mempertahankan pangkalan masing-masing dan mengawal tiga laluan iaitu atas, tengah dan bawah yang menghubungkan pangkalan. Ada lima permainan mengawal wira dari telefon dirikpun, konco2 iaitu minions. Ada tiga ekor dikeluar daripada pangkalan masing2 dan ketiga-tiga laluan menuju ke arah pangkalan musuh sambil lawan konco2, wira musuh serta menara. Setiap pasukan ada lima pemain mengendalikan watak yang ditauk sebagai pahlawan. Wira ada enam peranan berbeza kedak marksman, assassin, mage, support, fighter dan tank."
seg_007.wav,98.025,104.906,"Yang terakhir, soalan tiga. Kenak kitak suka main permainan ya dan bila masa jak kitak selalu main permainan ya?"
seg_008.wav,106.256,113.397,"Bila selalu berlatih, yalah menjadikan game tok  makin senang dimain dan agikpun dapat dimain lam tepon."
seg_009.wav,113.787,115.475,Senang mok diembak ke cne2.
seg_010.wav,116.150,136.636,Game tok percuma jak tapi perlu membeli permata  untuk dapatkan kulit iaitu skin pakey tmbah kuasa wira. Kamek selalu main game tok masa waktu lapang dan kadang-kadang waktu malam dalam pukul sepuluh ke dua belas  atau satu ke tiga pagi bergantung dengan kelajuan internet masa ya.
