file,start,end,words
seg_001.wav,0.614,1.785,"Assalamualaikum, Makcik."
seg_002.wav,1.785,3.054,Walaikumsalam...
seg_003.wav,3.054,13.663,"Um... ado gik soalan nok ditanyak, soalan tentang apokah sigir cito ataupun peristiwa dolok dolok yang kitak ingat."
seg_004.wav,13.663,18.701,oh... Peristiwa nak dolok dolok yang makcik ingat yo kisah urang nak nait belon.
seg_005.wav,19.506,24.518,Cobo kitak cito dengan ringkas jalan cito yo.
seg_006.wav,24.518,27.598,Urang 4 urang yo tek nak pegi ke Bintulu
seg_007.wav,27.867,29.340,make belon
seg_008.wav,29.878,38.422,"Dah make belon tek nangga belon kacak lak dalam belon bersi, lalu ninggai selepa debah yo nge rumput nge asan nait tanggak eh."
seg_009.wav,38.422,39.383,Aok
seg_010.wav,39.383,40.952,Dah atang lam yo tek duduk
seg_011.wav,41.953,53.348,"sik nyo seda belon yo tek angkat. Dah atang Bintulu ncarik selepa. Dah ncarik selepa, ni selepa kita tok sik eh seda selepa ditinggai eh nge epot belon."
seg_012.wav,54.361,64.151,datang bintulu ncarik sio ney ado... yo lah kisah orang dolok. sik entu pande gilak macam kinek tuk.. kinek tuk tekan ujung jarik dah tauk dah kita dah
seg_013.wav,64.151,65.683,"Oh, yojak tek?"
seg_014.wav,65.683,66.411,"Aok, yojak ngak tauk makcik."
seg_015.wav,66.411,67.475,Makseh.
seg_016.wav,67.475,68.436,Samo-samo.
