file,start,end,words
seg_001.wav,0.000,6.226,Aritok kamek akan polah sigek interview so mek mok mintak kitak introduce dirik kitak dolok lah
seg_002.wav,8.807,9.962,Nama kamek
seg_003.wav,11.185,14.740,Aminah binti Abang
seg_004.wav,15.147,18.159,Umo tujuh puluh lima tahun masa tok
seg_005.wav,18.770,20.559,diam di
seg_006.wav,20.899,22.574,Kuching ajak tok lah
seg_007.wav,23.186,24.220,Jadi
seg_008.wav,24.967,26.507,apa soalan kitak tek?
seg_009.wav,27.073,29.768,Kamek mok tanyak mun ada
seg_010.wav,30.107,35.995,orang rah Sarawak tok nya mok kawen nak.. ada sik nyampun spesifik adat yang sidak polah?
seg_011.wav,37.104,38.149,Oh..
seg_012.wav,38.602,39.961,mula mula orang Sarawak
seg_013.wav,40.436,45.259,mun nak nikah ada sigek adat yang di amal dari zaman dolok marek..
seg_014.wav,45.735,49.629,kamek orang nunggah ya betekol
seg_015.wav,50.128,52.573,Tauk sik ko nama betekol tok?
seg_016.wav,52.845,53.832,Sik tauk mek nek…
seg_017.wav,54.217,62.482,"Mun ko nak tauk, betekol tok sebenarnya berik ikatan dengan pasangan nya.. betekol tok"
seg_018.wav,63.320,66.467,"berik cincin jak, sik kedak betunang"
seg_019.wav,66.852,72.038,. Mun betunang berhanta hanta barang.. ya perbezaan nya tek
seg_020.wav,73.728,77.804,So apalah manfaat nya mun ada benda kedak betekol tok indah?
seg_021.wav,77.804,83.035,Manfaat nya supaya keluarga dari pihak dapat berkenalan lah sama dirik…
seg_022.wav,83.578,85.073,pesanan kamek dengan
seg_023.wav,86.069,89.896,anak anak muda nak nikah tok lah
seg_024.wav,91.096,95.062,pike mena mena lok sebelom molah keputusan nak nikah
seg_025.wav,95.991,96.557,dan
seg_026.wav,97.304,101.154,mun dah betunang jangan nak betunggu lamak lamak gik lah
seg_027.wav,101.538,102.467,Ya jak lah
seg_028.wav,103.486,106.633,Ada sik permainan yang kitak orang selalu main zaman dolok marek?
seg_029.wav,107.630,119.316,Ninek dolok suka main batu Seremban. Senang jak main batu Seremban tok. Make batu tujuh igek kakya lambung lambung dapat point
seg_030.wav,119.950,129.865,Sapa dapat point paling tinggi dolok nya lah menang… lima puluh kah seratus kah nya ada tahap tahap nyampun.
seg_031.wav,130.408,132.424,tahap satu tahap duak
seg_032.wav,133.397,142.545,"nang giya lah mekorang dolok salu main tok dengan geng-geng sama kampung, ya jak cara kamek orang main"
seg_033.wav,145.149,148.840,Okey nek makseh sebab mok interview aritok.
seg_034.wav,148.840,151.218,Sama-sama cuk ninek.
