file,start,end,words
seg_001.wav,0.398,1.452,Sapo namo kitak nek?
seg_002.wav,2.400,3.295,Imah.
seg_003.wav,4.121,5.526,Bapo dah umo kitak kinek nek?
seg_004.wav,7.861,10.952,"Tuo dah inek tuk, dalam 67 beh ado dah umo."
seg_005.wav,11.602,13.463,Kitak nang asai situk kah nek?
seg_006.wav,13.463,16.624,Aok. Inek nang urang bandi nang alu tuo situk jak.
seg_007.wav,17.766,20.558,"Nek, mek nak nanyak kitak tuk. Cito Pak Pande kitak tauk sik nek?"
seg_008.wav,21.208,26.353,Tauk. Nak urang tuo penta eh nak? Ado kesah eh mberik mandik anak eh pake aik angat.
seg_009.wav,27.091,36.542,Nak bego bini eh dikejo eh. Nyo ingat anak eh suko dipolah eh camyo. Sampe ninggai anak nyo ntam laki eh. Alu sedih nyeduak laki bini dahlah anak sorang ninggai jak gik.
seg_010.wav,37.227,38.632,Nak po toi na Pak Pande eh.
