file,start,end,words
seg_001.wav,0.673,11.505,"Okay… Cerita yang pernah dicerita kamek orang dolok, cerita pak pandir… Cerita ya lah yang paling best didengar kamek orang kecik dolok. Cerita si tanggang…"
seg_002.wav,11.505,12.843,Cerita pak pandir tek cerita lok.
seg_003.wav,12.843,31.591,"Cerita pak pandir tek nang bodo lah tek lah. Bagus anaknya tenggelam lam air ya lah mmg leput tetak nengar cerita nya. Jadi anaknya mati… Apabila anaknya mati dengan, apa tek pa nama…"
seg_004.wav,31.591,32.344,Kain?
seg_005.wav,32.344,58.089,"Bukan ngan kain… Ngan pa tek, tikar… Tikar pandan eh. Ya lah nya gugok. Anaknya gugok dari ya dah ya tek ngeleparkan carikkan anaknya tek macam agik idup. Nang leput juak. Mula-mula sik tek… Apabila diengkah nya anaknya ke aik panas, nak kah bodo. Anaknya di engkah lam aik panas. Anak nya pun terngangak jak. Pikir nya tetak. Paduhal anaknya tek mati lam aik. Nama lah tek pak pander bodo…"
seg_006.wav,58.937,67.990,"Ya jak lah cerita nya tek. Pendek gilak lah. Mun game kamek orang selalu main cong kepang, cam cam mek... Paling bestlah main"
seg_007.wav,68.837,76.486,"cong kepang. Sorang tek tunduklah tek nak. Tangan nya suma di belakang. Cong kepang, sapa tek kalah kenak tembak."
seg_008.wav,78.539,112.239,"Tengeleng-geleng lah kenak tembak! Tergeleng-geleng, kenak tembak lah mati. Ya jak lah cerita kamek orang dolok. Macam-macam lah. Eh banyak eh game dolok eh. Cam cam mek. Cong kepang. Main tangan tok eh. Kaki tok dihitung. Cam cam mek, tangan pun dihitung juak. Banyak lah main ronges lah paling best lah mek orang dolok, main ronges. Selipar diengkah segi tiga, ditikam. Mun selipar ya tek pecah, berkepung lah kamek orang sorang-sorang. Main nok tok eh, nakpa kah nama nya tek. Main tok, ndak ingat agik dah main ya…"
seg_009.wav,113.746,115.927,Eh banyak lah game mek orang dolok-dolok.
seg_010.wav,115.927,116.416,ya jak lah?
seg_011.wav,116.416,119.468,Main seremban paling best juak lah. Main seremban ada juak…
seg_012.wav,121.314,126.038,Banyak… Ya jak lah cerita. Sikda gik cerita.
