file,start,end,words
seg_001.wav,0.014,4.328,"Sebelum kita mula, boleh sik kitak introduce kitak dolok?"
seg_002.wav,4.987,12.297,"Hi, nama kamek Syafiqa binti Sairi. Umur 20 tahun, tinggal rah Kuching."
seg_003.wav,13.088,18.269,Okay… boleh sik kitak kongsi apa-apa cerita traditional yang kitak tauk?
seg_004.wav,18.476,28.704,"Cerita traditional yang kamek tauk. Hm… Pasal Puteri Santubong. Cerita tok berlaku time zaman dolok, nang zaman dolok mena eh."
seg_005.wav,29.571,30.588,Jadi nya banyak
seg_006.wav,31.492,34.732,"jalan cerita yang lain-lain. Tapi yang kamek tauk,"
seg_007.wav,35.504,40.346,ada dua orang puteri tok — namanya Puteri Santubong and Puteri Sejinjang.
seg_008.wav,41.024,46.059,Nya duak tok sangatlah cantik. Nya duak orang puteri yang sangat terlalu cantik eh
seg_009.wav,46.944,52.297,sebab nya duak tok anak dewa yang turun dari kayangan diarah untuk jaga gunung rah sarawak.
seg_010.wav,53.013,61.886,"Pas ya, segek hari tok tek, Putera Serapi datang mok nangga kehebatan, kecantikan duak orang puteri tok tek sebab orang padah"
seg_011.wav,62.470,65.019,nya duak sangat lah cantik dan hebat.
seg_012.wav,67.035,84.117,"Kak ya tek, duak orang puteri tok tek lalu lah tersuka dengan Putera Serapi ya… Lepas ya, tegal nya duak suka, nya duak cemburu, iri hati — sorang rasa bagus. Bekelaie tegal suka dengan Putera Serapi ya."
seg_013.wav,85.003,86.739,"Jadi tegal nya duak bekelaie ya tek,"
seg_014.wav,87.775,94.841,nya duak disumpah jadi Gunung Santubong and Pulau Kera. Sejinjang yang jadi Pulau Kera.
seg_015.wav,95.726,99.324,Yang si Puteri Santubong jadi Gunung Santubong.
seg_016.wav,100.888,102.904,"Jadi pengajaran rah sitok tek,"
seg_017.wav,104.015,108.886,"sik perlulah kita nak bekelaie, cemburu, iri hati…"
seg_018.wav,109.941,116.685,"Setegal benda kecik cam ya jak. Sebab nya duak tok sangatlah rapat, mcm adik-beradik. Tapi tegal"
seg_019.wav,117.401,121.224,"nya duak berkelaie pasal Putera Serapi ya tek,"
seg_020.wav,121.902,125.978,nya duak yang binasa disumpah jadi Gunung Santubong and Pulau Kera.
seg_021.wav,127.486,135.944,"Okay, selain daripada cerita traditional, apa permainan traditional yang pernah kitak main dan camne cara main nya?"
seg_022.wav,136.886,150.267,"Permainan tradiitonal yang biasa kita main atau yang kamek biasa main lah, congkak. Congkak tok nya perlu buah kecik-kecik and segek papan congkak."
seg_023.wav,151.303,159.746,Cara kita main nya senang jak. Kita perlu engkah buah kecik-kecik ya dalam setiap lubang rah papan congkak ya.
seg_024.wav,160.444,165.059,"Kak ya, permainan tok nya hanya perlu 2 orang jak pemain."
seg_025.wav,165.982,176.720,"Permainan congkak tok juak, nya untuk uji kecekapan pemain untuk dapatkan berapa banyak buah kecik-kecik ya tek yang dioleh kita dari pihak lawan."
seg_026.wav,177.926,182.461,"Okay, trimak kasih sebab sudi mok di interview."
