file,start,end,words
seg_001.wav,1.370,13.992,"Assalamualaikum. Haritok kita ada sesi temu ramah. Kamek akan bertanyakkan tentang permainan tradisional yang pernah kitak main waktu kecik dolok. Jadi sebelum kita mulakan, sila kenalkan dirik kitak."
seg_002.wav,15.160,25.162,"Okay, nama kamek janah japeni. Kamek umur 16 tahun. Sekolah di SMK Tun Abang Haji Openg."
seg_003.wav,26.782,31.481,Okay. Apa nama permainan yang kitak pernah main ya?
seg_004.wav,33.044,38.634,Nama permainan ya kamek orang main ya ialah batu seremban.
seg_005.wav,40.179,49.586,okay boleh kitak uraikan cara bermain dgn lebih terperinci gik tentang permainan ya? Tentang untuk dapat markah dan sebagainya.
seg_006.wav,52.261,125.860,"Cara main batu seremban tok, nya mesti… Macam ne oh. Nya cara main nya…  Main ngan kawan lah. Nya sik kira berapa orang bermain nya terpulang asal enjoy jak. Kakya… Baru seremban ya nya terdiri dari tujuh egek lah. Kakya… Cara main nya, first ya berundi lah dengan kawan sampey mok berapa markah/level yang kita mok main. Contoh tek kitak orang main sampey 100. Okay so… yalah main lah tek. Kita main tek, cara main nya, macam ne nak madah— kita engkah ke lantai. kakya kitak truskan macam ya lah. Ne kitak nangga apa, ada suma batu ya, tujuh egek batu tek ada atas lantai, kita ambik segek batu ya. Kitak baling ke atas, sementara ya di atas ya kitak ambiklah batu yang ada rah lantai ya. Kakya biar kitak dapat tangkap, kitak tangkap gik lah. Trusnya sampey abis."
seg_007.wav,125.860,126.576,Ok
seg_008.wav,126.576,152.463,"Mun dah sampey abis ya… Uh… macam ne nak madah. Kan dah kumpul semua tek nak, kitak flip kan nya… Eh, kita tangkapkan nya alu… mun kitak dapat tangkapnya, macam ne oh. Sampey kita dapat lah."
seg_009.wav,152.463,152.934,Ok
seg_010.wav,152.934,157.343,"Sambut! Ah, sambut. Kay, ya jak lah."
seg_011.wav,157.343,157.719,Ok
seg_012.wav,157.719,166.134,"Kak ya mun kitak kalah, pas sambut ya, kitak pas gik ngan kawan kitak sebelah ya… And ya jak lah."
seg_013.wav,166.134,173.565,"Ok. Last, yang terakhirlah. Bagi kitak lah, apahal kitak suka main ya?"
seg_014.wav,175.524,214.823,"Pahal kamek suka main ya? Uh… Segek segal nya best. Kakya, macam gunakan macam kira-kira jak pa suma… Nya boleh melatih minda kita macam kira-kira oh tok berapa markah. Sebab main tok nya ada markah juak. Nya kira markah juak semua. Kakya… Nya bestlah. Best main ngan kawan semua mun contoh tek, kitak pande nang pro lah main ya lalu kitak lah menang semua. cam sampey ke level 50 kah… Level 100 kah. Yang kamek padah awal tek."
seg_015.wav,214.823,215.444,Ok
seg_016.wav,215.444,217.573,Okay ya jak lah.
seg_017.wav,217.573,218.779,Ok trimak kasih.
