file,start,end,words
seg_001.wav,1.249,11.459,"Ado ka game ka permainan ka, yang kitak main untuk kitak ngisik masa lapang ka? Hobi ka apo ka"
seg_002.wav,13.881,14.572,Umm..
seg_003.wav,15.377,16.208,Salunya nakk
seg_004.wav,18.752,21.687,Kamek main lompat getah. Tauk sik lompat getah?
seg_005.wav,22.388,23.349,Lompat getah?
seg_006.wav,24.102,25.089,Aok.
seg_007.wav,25.972,27.768,Skipping ditungah urang kinek tuk
seg_008.wav,28.339,29.845,Madah skipping lah
seg_009.wav,29.845,32.157,"Um, urang putih madah skipping lah"
seg_010.wav,32.157,32.390,Aok..
seg_011.wav,32.390,33.871,Okay
seg_012.wav,33.871,40.259,Kan dolok-dolok salu tali ya salu dipolah k getah
seg_013.wav,40.259,41.090,Kay
seg_014.wav,42.025,51.004,"Kinek tok nak ada tali nya mpun. Ya lah, kamek salu main, mun masa lapang."
seg_015.wav,51.004,55.289,Okay jadi kitak main skipping.
seg_016.wav,55.289,57.210,"Skipping, aa.."
seg_017.wav,57.210,58.713,"Okay, nie po main tuk?"
seg_018.wav,59.843,79.762,"Nyo boleh dimain duak keadaan. Sigek boleh main sorang sorang, boleh juak main sorang-sorang lah. Sigek gik boleh main berkumpulan, rami-rami main, duak orang pakey pegang getah ujung ujung. Yang lain lompatlah."
seg_019.wav,81.961,82.904,Camyo main yo
seg_020.wav,82.904,84.333,Hmm
seg_021.wav,84.333,86.981,"Ado apat main sorang, ado apat main berkumpulan."
seg_022.wav,87.657,88.176,Aok
seg_023.wav,90.124,99.031,"Okay nak nanyak caro permainan tuk. Macam ne peraturan ea, berapo lamak maso nak main"
seg_024.wav,102.848,132.647,"Kamek salu main nak, ngan adek kamek masa petang, untuk riadah lah, main suko suko jak lah. Salu kamek ngan adek mek main, kamek duak lawan sapa lamak gik main lompat. Sapa lamak gik nyalah menang"
seg_025.wav,132.647,138.282,Sapa paling lamak melompat koro nyo menang
seg_026.wav,138.282,138.908,hmm..
seg_027.wav,139.895,144.284,"Nak ada orang sik pande main, susahlah nya nak main"
seg_028.wav,144.284,144.725,Okay faham..
seg_029.wav,146.725,163.188,"Nie po lah nak madah nya menang ka kalah ka. Dari caro camne tek, nie po nak madah kito menang game yo, nie po nak madah kita dah kalah game yo"
seg_030.wav,165.785,166.745,hmm
seg_031.wav,169.758,170.563,Mun kamek
seg_032.wav,173.238,178.982,sapa lamak gik boleh main game yo nya menang lah
seg_033.wav,181.241,188.798,"Oh, tok ngekot maso lah, caro menang tek nyo ngekot maso"
seg_034.wav,188.798,189.421,Aok
seg_035.wav,190.045,190.772,Okay
seg_036.wav,194.278,195.939,Paham caro menang ya tek.
seg_037.wav,197.576,203.268,"Jadi kebiasaan ya tek bilo kitak akan main benda tok, bila kitak nak main skipping tok tek"
seg_038.wav,204.463,217.479,"Mun pagi ngan petang lah. Tapi jarang main pagi nak, pagi-pagi nak. Biasa petang lah, lalu petang"
seg_039.wav,219.323,220.128,Petang-petang oh
seg_040.wav,221.037,221.454,Aok
