file,start,end,words
seg_001.wav,0.486,8.458,Hi. Nama kamek Sofia. Kamek mok temuduga kitak untuk menceritakan cerita traditional yang kitak tauk ataupun minat. Boleh sik perkenalkan dirik kitak?
seg_002.wav,9.530,16.941,"Nama kamek Nurhafizah binti Safiee, berumur 24 tahun dan berasal dari Kampung Mang, Kota Samarahan, Sarawak."
seg_003.wav,18.433,22.051,Soalan satu. Apakah nama cerita tradisional yang kitak tauk?
seg_004.wav,23.649,35.178,Cerita traditional yang kamek tauk adalah bertajuk si tanggang. Si tanggang tok menderhaka dengan mak nya dan akhirnya ditukar menjadi batu sebab disumpah dengan izin tuhan.
seg_005.wav,36.284,39.404,Soalan dua. Berapakah watak di dalam cerita ya?
seg_006.wav,40.212,67.296,"Ada tujuh watak di dalam cerita tok iaitu Si Tanggang adalah watak utama. Si talang, bapak kepada si tanggang. Si Deruma mak kepada Si Tanggang. Nakhoda, iaitu nakhoda kapal yang ambik si tanggang jadi anak kapal. Sultan adalah sultan di negeri tempat perantauan Si Tanggang. Puteri Sultan adalah puteri kepada sultan diisterikan oleh sultan dengan Si Tanggang."
seg_007.wav,68.701,71.651,Soalan tiga. Bagaimanakah jalan cerita ya?
seg_008.wav,73.126,155.773,"Si Tanggang temu dan mintak dengan nakhoda kapal ngambik nya jadi anak kapal. Nakhoda kapal ambik Si Tanggang jadi anak kapal dan anak angkatnya sebab nangga Si Tanggang rajin dan sik melawan apa jak arahan yang diberi. Nakhoda kapal jadi uzur lalu jadikan Si Tanggang nakhoda baru. Si Tanggang pandey berniaga menjadikannya kaya raya dan namanya terkenal sampey sultan jemput nya ke istana. Sik lamak pas ya sultan kawinkan puteri dengan si Tanggang dan ngembak bininya berlayar ke banyak tempat. Kapal Si Tanggang berlabuh di muara sungai yang usulnya, dimaklumkan oleh orang kampung pasal Si Tanggang lalu mak bapak nya kayuh sampan ngagak Si Tanggang. Si Tanggang sik ngaku Si Talang dan Si Deruma orang tuanya dan madah dengan bininya yang orang tuanya dah ninggal. Si Tanggang halau orang tuanya lalu Si Deruma berdoa dengan hati yang kecewa supaya tuhan tunjuk kepada Si Tanggang ya yang nya adalah mak kandungnya. Petir dan angin bertiup kencang sampe kapal Si Tanggang terumbang-ambing entam air bergelora. Si Tanggang menyesal dan mohon ampun dari Si Deruma. Semua terlambat apabila kapal pecah entam ombak kuat. Bila ribut reda, Si Tanggang, isteri, kapal dan anak kapal bertukar jadi batu."
seg_009.wav,156.248,161.958,Soalan empat. Apakah latar cerita tersebut iaitu waktu dan tempat cerita ya digunakan?
seg_010.wav,162.766,186.583,"Berlatarkan sebuah kampung keluarga nelayan di tepi pantai dan menjadi kisah rakyat pada tahun 1080’an di Selangor. Ada beberapa tempat di kepulauan melayu dikaitkan dengan cerita si Tanggang seperti di Jong Batu, Brunei, Batu Cave, Malaysia dan Batu Maling Kundang di Pantai Air Manis Padang, Sumatera Barat, Indonesia."
seg_011.wav,187.795,191.547,Soalan lima. Apakah pengajaran yang kitak dapat dari cerita ya?
seg_012.wav,192.460,201.741,Pengajarannya adalah jgn derhaka dengan orang tua. Pengajaran tok selaras dengan ajaran Islam yang menghormati kedudukan ibu bapa.
seg_013.wav,203.040,208.701,"Yang terakhir, soalan enam. Apakah yang kitak akan teringat mun terimbas kembali dengan cerita ya?"
seg_014.wav,209.632,221.644,Kamek paling teringat dengan doa mak nya sebab doa seorang mak sikda hijab antara tuhan. Jadi sebagai anak mesti hormat ibu bapa dan jgn berkasar dengan sidak.
