file,start,end,words
seg_001.wav,0.000,4.309,"Kamek maok interview kitak, bole tauk nama kitak apa kah?"
seg_002.wav,4.309,9.490,Nama kamek Azima Barbara binti Abdullah.
seg_003.wav,9.490,12.322,Okay.. Kitak asal dari sine oh?
seg_004.wav,12.322,15.448,Asal kamek memang dari Kawasan Samarahan tok lah.
seg_005.wav,15.448,16.273,kampung?
seg_006.wav,16.273,17.239,Kampung Sindang.
seg_007.wav,17.239,19.382,Oh kampung sindang...Umur kitak?
seg_008.wav,19.382,21.067,empat puluh dua tahun
seg_009.wav,21.067,22.665,bangsa?
seg_010.wav,22.665,25.264,bangsa ah... melayu
seg_011.wav,25.264,28.380,Melayu... Taraf pendidikan kitak apa?
seg_012.wav,28.380,29.195,SPM lah
seg_013.wav,29.195,36.915,"Okay, SPM.. Cuba kitak cita apa makanan tradisional melayu Sarawak?"
seg_014.wav,36.915,48.423,"Macam yang kamek tahu lah yang nak ya macam umai, macam terung asam , macam bubur masak pedas."
seg_015.wav,48.423,52.076,Boleh kitak padah resepi tok macam umai tek kah?
seg_016.wav,52.076,80.746,"Umai.. Macam umai tok nya menggunakan ikan tenggiri, mana-mana ikanlah, ikut suka hati jak. Ikan tenggiri ya, kitak hiris nya halus-halus kakya makei limau, cili lepas ya... garam, ajinomoto kitak gaul-gaulkannya lah secukup apa yang kita maoklah, macam nya mun maok masam agik supaya umai lebih sedap kita campurnyabawang ataupun bawang merah, bawang putih dengan limau Kasturi."
seg_017.wav,80.746,86.769,"Oh, okay... Selain dari ya, apa permainan tradisional melayu Sarawak?"
seg_018.wav,86.769,92.231,"Selalunya yang aktif lah, yang selalu dipake orang melayu Sarawak ialah gendang melayu lama."
seg_019.wav,92.231,95.584,Gendang melayu.. Salu gendang melayu tok dimain masa bila ?
seg_020.wav,95.584,107.824,"Selalunya ada function, ada juak ada macam kenduri kahwin, waktu keramaian-keramaian kampunglah yang paling selalu dibuat."
seg_021.wav,107.824,111.284,Memang ya permainan tradisional nya selalu dipolah di Sarawak lah?
seg_022.wav,111.284,112.293,"Aok, aok, aok"
seg_023.wav,112.293,122.478,"Okay... Boleh cita sikit um... asal melayu Sarawak tok, memang melayu Sarawak tok asal dari sine?"
seg_024.wav,122.478,151.440,"Ya kamek tok umo dah tua tapi kurang pasti lah yang sik maok juak madah lebih yang kira... apa... Sik tauklah yang sejauh manalah tapi memang yang kamek tauk asal melayu tok memangnya kebanyakkan dari macam dak keturunan Sarifah kebanyakkannya dari Sebuyo. Asalnya dari Brunei. Mun keturunan dak dayang yang lain-lain ya, kamek kurang pasti lah."
seg_025.wav,151.440,156.322,"Oh.. okay.. Nyak aja lah dari kamek orang, terima kasih."
seg_026.wav,156.322,157.411,Sama-sama.
