file,start,end,words
seg_001.wav,4.968,7.012,Waalaikummussalam wbt.
seg_002.wav,13.467,14.866,Melastik burung.
seg_003.wav,20.460,29.620,Kito kenak ipak burung yo inggap dolok. Lepas yo kito nginci burung yo. Baruk kito nyetit burung yo.
seg_004.wav,35.483,36.397,Sekdo.
seg_005.wav,36.397,37.595,Sekdo ah.
seg_006.wav,41.346,42.261,Sekdo.
seg_007.wav,50.247,60.736,Permainan tuk boleh main secara sorang-sorang atau rami-rami. Pemenang akan dikira daripada jumlah burung yang mati.
seg_008.wav,69.287,73.040,"Kayu, getah dan batu atau bigik getah."
seg_009.wav,80.087,81.345,Waktu bahri.
seg_010.wav,81.829,82.933,Bahri...
seg_011.wav,88.929,93.555,Sebab permainan tuk jimat belanjo dan senang dicarik.
seg_012.wav,99.096,102.827,Waalaikummussalam wbt.
