file,start,end,words
seg_001.wav,0.353,9.132,"Hai, assalamualakum. Nama kamek Nurhazirah dari Unimas. Kamek nak polah sigek interview berkenaan dengan tugasan kamek."
seg_002.wav,10.620,15.270,"Sik lamak,kejap ajak. Perbualan kita dua tok dirakam, kitak okay kah?"
seg_003.wav,16.419,18.341,"Waalaikummussalam. Hai, boleh."
seg_004.wav,19.622,21.659,Rakam ajak apa nk di temubual kita tok.
seg_005.wav,23.788,34.865,"Okay, first kitak kenalkan dirik kitak dolok lah. Nama, umo, asal sini, lahir sini, orang sini. Senang cerita,"
seg_006.wav,35.562,36.862,latar belakang kitak lah.
seg_007.wav,38.369,41.185,Nama kamek Mohd Neenatul Aizal bin Jabni.
seg_008.wav,41.750,46.479,"Umo kmk 23 taun. Asal daripada Kuching, Sarawak"
seg_009.wav,47.553,50.322,and kamek tinggal di Taman Sourobaya Indah
seg_010.wav,51.076,51.931,Jalan Bako Kuching
seg_011.wav,54.756,58.656,"Asal usul kamek, bapak kamek orang Melayu"
seg_012.wav,59.673,61.821,orang Melayu di Muara Tebas
seg_013.wav,62.254,64.477,Mak kamek daripada Serian
seg_014.wav,65.250,67.378,... Serian berbangsa Bidayuh
seg_015.wav,69.451,78.669,"Ohhh. Okay, boleh cerita sikit kah apa-apa cerita tradisional ka, cerita dongeng ka, cerita turun temurun ka, yang di cerita oleh dak"
seg_016.wav,79.272,83.171,"nenek datok ka, parent ka yang lamak dolok kat kitak."
seg_017.wav,86.016,89.206,Cerita dongeng dari sidak nenek datok kamek yang kamek ingat lah.
seg_018.wav,90.449,94.989,Nya penah lah cerita pasal tok dengan kamek orang masa kamek orang gik kecik
seg_019.wav,95.856,102.939,"Mun nembiak, sik boleh lekak maghrib nak kelua pegi pante laut dekat Muara Tebas ya"
seg_020.wav,104.145,104.528,sebab
seg_021.wav,105.508,106.130,banyak bah
seg_022.wav,106.563,107.618,kejadian nya madah
seg_023.wav,108.503,112.403,nembiak yang mana-mana yang lebih pukul 6 lebih maghrib ya nya akan
seg_024.wav,113.119,113.496,ilang
seg_025.wav,114.080,115.759,kakya sik ditemu urang
seg_026.wav,117.944,122.673,ya jak lah banyak dicerita oleh dak datuk nenek mek. rimas entam benda ya dekat muara tebas lok
seg_027.wav,123.728,132.035,Okay. So mana-mana cerita tauladan kan mesti ada pengajaran. Boleh mek tauk ka apa pengajaran dari cerita ya?
seg_028.wav,133.863,137.796,teladan dengan pengajaran daripada cerita datuk nenek kamek ya
seg_029.wav,139.680,140.622,kita nembiak tok
seg_030.wav,141.582,144.126,bahaya mun keluar lebih daripada maghrib
seg_031.wav,144.728,146.885,sebab kita sik tauk bah apa jadi gik nak
seg_032.wav,147.563,157.642,Kan lekak maghrib ari gelap apa indah. Lekakya kejadian mistik ya pun kita sik dapat jangka bah nak. Mun dapat kita perlu elak.
seg_033.wav,159.507,162.928,ohh okay. Dari umo kitak kinek tok nak
seg_034.wav,163.908,167.657,apa game nak selalu dimain kitak kinek tok oh?
seg_035.wav,170.746,171.946,buat masa tok kamek
seg_036.wav,172.718,175.073,main game Pubg Mobile dengan Mobile Legend
seg_037.wav,176.656,180.141,Seperti yang kitak orang tauk nak? Game ya pun famous di seluruh dunia.
seg_038.wav,181.742,183.617,"okay, last question dari kamek"
seg_039.wav,184.634,185.463,kenak game tok
seg_040.wav,186.348,189.231,best bagik kitak? Apa yang menariknya dalam game tok?
seg_041.wav,191.642,196.156,"Game tok menarik bagik kamek sebab game tok online. So game online tok, kita boleh"
seg_042.wav,196.985,201.186,"main dengan kawan-kawan kita apa semua nak, so bila kita main dengan kawan-kawan kita,"
seg_043.wav,201.732,203.974,kita boleh communicate dengan daknya
seg_044.wav,204.501,205.312,apa indah
seg_045.wav,206.140,208.213,so agik-agik masa pandemik ya nak
seg_046.wav,208.910,211.014,Kita sikdapat nak bejumpa gilak bah nak
seg_047.wav,211.617,212.672,risiko apa indah
seg_048.wav,213.200,217.099,so game ya lah yang tempat yang terbaik bagi kamek
seg_049.wav,219.435,228.238,"Okaylah, kamek rasa tok jaklah nak dikelaka kamek ngan kitak tek. Terimak kasih sebab sudi luangkan sikit masa kitak nak bercerita ngan kamek"
seg_050.wav,229.105,230.461,sudi nak interview
seg_051.wav,231.253,234.399,mok di interview oleh kamek apa semua. okay thank you
seg_052.wav,235.906,239.504,okay terima kasih juak sebab temubual kamek and
seg_053.wav,240.163,247.223,"if mok pertanyaan apa-apa lagik boleh jak tanyak kamek agik, no problem. thank you"
