file,start,end,words
seg_001.wav,0.000,3.518,"Hai aritok kamek nak interview kitak. So, apa nama kitak?"
seg_002.wav,3.518,6.004,Nama kamek Mohammad Harith Ieman bin Sulhie.
seg_003.wav,6.004,6.551,Umo?
seg_004.wav,6.551,8.454,Duak puloh satu (21) taun.
seg_005.wav,8.454,9.414,Kitak orang sine?
seg_006.wav,9.414,10.921,"kamek orang Kuching, Sarawak."
seg_007.wav,10.921,18.042,"Okay, so aritok kamek nak interview kitak hal cerita tradisional. Kitak ada tauk apa apa cerita tradisional sik?"
seg_008.wav,18.042,20.360,Nok cerita tradisional yang kamek ingat
seg_009.wav,21.358,25.897,yang kamek ingat kisah si tanggang ataupun si malikundang.
seg_010.wav,25.897,29.495,Apa karakter dalam cerita si tanggang?
seg_011.wav,29.495,32.616,Watak utama dalam cerita ya si tanggang
seg_012.wav,33.784,34.632,mak si tanggang
seg_013.wav,35.630,38.607,dengan isteri si tanggang yang merupakan seorang puteri
seg_014.wav,40.095,41.022,Plot cerita ya?
seg_015.wav,41.866,46.250,"Plot cerita ya, jadi kamek mok explain plot ya, kamek cerita camne cerita ya lah."
seg_016.wav,47.286,47.983,Secara ringkas lah
seg_017.wav,48.981,53.524,Si tanggang ya tek nya derhaka kepada maknya bila nya nikah dengan puteri ya tek
seg_018.wav,54.334,58.554,"And bila nya temu balit maknya, nya sikmok ngakuk yang maknya tek bukan orang susah"
seg_019.wav,59.195,61.283,Nya sikmok ngakuk yang maknya tek adalah maknya
seg_020.wav,61.980,63.657,Jadi dalam masa ya
seg_021.wav,64.486,69.874,"si tanggang bila nya nak pergi ke kapal, kapalnya dengan nya kenak sumpah jadi batu"
seg_022.wav,70.477,72.504,"Jadi, tok lah plot twist nya"
seg_023.wav,73.505,76.595,"kenak derhaka lah, kira macam ya lah"
seg_024.wav,77.667,80.905,Apa pengajaran yang kitak boleh dari cerita ya?
seg_025.wav,80.905,83.855,"pengajaran dari kesah si tanggang, janganlah kita lupa dirik"
seg_026.wav,84.698,87.576,mak kita jangan ditinggal kerna kita ada sorang jak mak
seg_027.wav,89.279,90.052,Yajak lah
seg_028.wav,90.052,93.125,apa yang kitak paling ingat dalam cerita ya?
seg_029.wav,93.845,95.319,Yang kamek ingat dalam cerita ya
seg_030.wav,97.321,99.955,"si tanggang lah. Nya ego, nya lupak dirik lah"
seg_031.wav,100.974,105.222,"Nya sik ingat maknya agik. Bila nya jadi kaya, nya lupak maknya yang hidup susah"
seg_032.wav,106.504,109.384,"okay soalan keduak, kitak main game sik?"
seg_033.wav,109.384,110.518,main juak lah.
seg_034.wav,110.518,112.977,apa nama game yang kitak main?
seg_035.wav,112.977,116.085,"game kitak maksud, game permainan ataupun sukan?"
seg_036.wav,116.805,120.071,permainan. Macam kitak main video game ka.
seg_037.wav,120.071,124.589,"oh, kamek main MNM Manager"
seg_038.wav,126.345,129.611,"dahya, gine kitak main game ya, cara kitak main game ya?"
seg_039.wav,129.611,132.456,kamek main ya ekot masa kamek ya lah
seg_040.wav,133.773,136.141,kamek free lah bila kamek main ya.
seg_041.wav,136.141,140.145,"berapa orang dalam sigek game, macam team ka?"
seg_042.wav,140.145,142.340,game ya individual. nya
seg_043.wav,143.077,146.361,Kita train kita pun fighter kakya nya alu
seg_044.wav,147.099,148.960,betanding lah tangga sapa lebeh kuat.
seg_045.wav,150.172,151.651,Yang sik salah kamek yang paling kuat
seg_046.wav,153.442,154.215,Tom Cruise
seg_047.wav,155.602,158.939,"kenak kitak enjoy main game ya, kenak kitak suka main game ya?"
seg_048.wav,160.818,167.632,"kamek enjoy segal kawan kamek rami main ya. Jadi, kamek terekot sekali lah and game ya tek pake ngabis masa boring juak."
seg_049.wav,169.458,172.356,"okay, ya jak lah. Thank you."
seg_050.wav,172.356,173.579,welcome.
