file,start,end,words
seg_001.wav,0.664,2.707,Kitak minat main game ka?
seg_002.wav,2.707,3.725,Minat
seg_003.wav,3.725,5.916,Game apa yang kitak slalu main?
seg_004.wav,5.916,8.415,Kamek slalu main game Mobile Legend
seg_005.wav,8.415,11.055,Brapa orang main dalam game ya?
seg_006.wav,11.681,16.615,Setiap game ada sepuluh orang pemain kakya dibahagi kepada duak kumpulan
seg_007.wav,17.654,19.205,Apa pengetahuan
seg_008.wav,19.834,21.529,mok main game ya?
seg_009.wav,21.529,26.247,Pengetahuan game ya kita mesti bekerjasama dengan ahli kumpulan masing-masing
seg_010.wav,27.230,30.435,Apa yang kita patut polah untuk menang?
seg_011.wav,30.435,37.090,Kita mesti musnahkan sepuluh menara pihak lawan sebelum pihak lawan musnahkan menara kita
seg_012.wav,37.090,44.190,Brapa masa yang slalunya yang dipelukan untuk molah pesediaan main game?
seg_013.wav,44.190,52.137,"Untuk carik pemain slalunya dalam 38 saat, untuk pilih avatar dalam 50 saat."
seg_014.wav,53.022,55.268,Macam ney mok dapat ganjaran?
seg_015.wav,56.946,63.472,Cara mok dapat ganjaran kita pelu munuh pihak lawan dan tentera pihak lawan
seg_016.wav,64.166,67.056,Slalunya brapa lamak game tuk bah?
seg_017.wav,67.758,75.424,"Nya bergantung dengan pemain, mun pemain ya musnahkan kesemua menara pihak lawan dengan masa yang sikit maka cepatlah abis."
seg_018.wav,75.424,78.053,Kenak kitak suka main game ya?
seg_019.wav,78.053,84.793,Kamek suka game tuk sebab dapat atur strategi pertempuran untuk berlawan dengan pihak lawan
seg_020.wav,90.981,94.503,Kitak pernah kalah ka main game tuk?
seg_021.wav,94.503,95.951,Pernah
seg_022.wav,95.951,98.675,Tegal apa kitak kalah main game tuk?
seg_023.wav,98.675,106.564,Kamek kalah sebab sikda kerjasama dalam kumpulan kakya pihak lawan musnah menara mekrang terlebih dolok
seg_024.wav,106.564,109.653,sebelum mekrang musnah menara sidak ya
