file,start,end,words
seg_001.wav,1.001,3.442,Ya pande ku main
seg_002.wav,3.442,6.618,macam ambik buah tuk masok buah ya
seg_003.wav,6.618,10.409,"kamek sik main bena lah , main-main main ajak"
seg_004.wav,10.409,12.835,main-main macam ya jak
seg_005.wav,12.835,16.360,"sekda main bena, main semban pandeku"
seg_006.wav,17.414,20.143,seremban nang tiap ari main semban
seg_007.wav,20.143,21.923,kamek main semban
seg_008.wav,22.572,29.142,"Cara main nya? Ah, tangkap satu dolok,  kakya tangkap duak, tangkap tiga, ah main semban"
seg_009.wav,29.142,31.138,Pahal kitak suka main seremban
seg_010.wav,31.138,33.616,Nang kamek main seremban tiap-tiap hari
seg_011.wav,33.616,38.603,"tiap-tiap hari kamek nang suka main semban, asal betemu main seremban"
