file,start,end,words
seg_001.wav,0.580,2.321,Apa nama kitak?
seg_002.wav,2.321,4.596,Nama kamek Mohamad Denien
seg_003.wav,4.596,6.590,Brapa umo kitak?
seg_004.wav,6.590,9.089,Umo kamek enam belas taun
seg_005.wav,9.089,11.307,Kitak sekolah di sine?
seg_006.wav,11.307,15.267,Kamek bersekolah di Kolej Vokasional Kuching
seg_007.wav,15.267,18.300,kitak tinggal rah sine?
seg_008.wav,18.300,23.130,kamek tinggal di Taman Sejoli area Petra Jaya
seg_009.wav,24.506,28.718,"Boleh kamek tanyak, cerita tradisional apa yang kitak tauk?"
seg_010.wav,29.771,33.871,Kamek tauk cerita kesah Si Tanggang
seg_011.wav,33.871,36.876,Siapa watak dalam cerita ya?
seg_012.wav,36.876,45.469,"Watak dalam cerita ya adalah Tanggang, mak Tanggang, isteri Tanggang dengan Jelutong"
seg_013.wav,45.469,47.884,Macam ney jalan cerita ya?
seg_014.wav,47.884,53.331,"Nya macam tok, kesah tok tentang sorang anak laki yang bernama Tanggang."
seg_015.wav,53.331,57.206,Nyatok tinggal bersama ngan maknya di sebuah kampong.
seg_016.wav,57.206,63.468,"Pada suatu ari, ada sebuah kapal perdagangan berlaboh di tepi pante kampong sidaknya."
seg_017.wav,63.468,69.642,"Tanggang padah dengan maknya, nya mok jadi anak kapal ya sebab maok ngubah nasib."
seg_018.wav,69.642,77.601,Maknya berat ati nak melepasnya tapi tanggang berjanji yang nya akan pulang ngembak harta pake nya.
seg_019.wav,77.601,80.830,"Tapi, maknya tetap sik merik izin."
seg_020.wav,80.830,84.678,"Jadi, Tanggang lari tanpa pengetahuan maknya."
seg_021.wav,84.678,86.759,Selepas beberapa tahun
seg_022.wav,86.759,90.915,nya nikah dengan anak Sultan. Sejaknya jadi nakhoda ya
seg_023.wav,90.915,94.116,Si Tanggang dengan isterinya pegi berlayar di laut.
seg_024.wav,94.116,95.745,Dalam perjalanan
seg_025.wav,95.745,101.441,"bekalan minuman dah habis, jadi terpaksa sidaknya carik tempat perhentian."
seg_026.wav,101.441,106.046,"Tiba-tiba, ada seorang penjual buah bernama Jelutong."
seg_027.wav,106.046,107.900,kenal dengan Si Tanggang tok.
seg_028.wav,107.900,112.168,jadi Jelutong berlari berjumpa dengan mak Tanggang padah
seg_029.wav,112.168,114.134,Si Tanggang tok dah balit
seg_030.wav,114.134,122.318,Mak Tanggang senang hati nak jumpa anaknya tapi Si Tanggang sik ngaku yang ya adalah maknya sebab malu
seg_031.wav,122.318,127.092,"Kakya, maknya berdoa supaya berik petunjuk"
seg_032.wav,127.092,135.797,"tiba-tiba, angin bertiup kencang, laut berombak. Si Tanggang dan isteri serta anak kapal menjadi batu"
seg_033.wav,137.707,142.031,Apa pengajaran yang kitak dapat dari cerita tok?
seg_034.wav,142.031,150.933,Pengajaran yang kamek dapat dari cerita tok adalah kita wajib menghormati ibu kita yang dah banyak berjasa untuk kita
seg_035.wav,150.933,155.664,Apa yang kitak paling ingat tentang cerita ya tek?
seg_036.wav,155.664,161.617,Apa yang kamek paling ingat tentang cerita tok adalah bila mak Tanggang berdoa
seg_037.wav,161.617,166.363,mintak petunjuk kakya serta merta anaknya disumpah jadi batu
