file,start,end,words
seg_001.wav,1.219,5.496,boleh sik kitak cerita tentang permainan apa yang kitak suka?
seg_002.wav,5.496,6.457,okaylah
seg_003.wav,7.286,8.096,mun ikutkan
seg_004.wav,8.793,9.546,kamek tok
seg_005.wav,10.224,19.135,"suka  main  game, tapi   bak  kata  kamek tok  semua  jenis  game  kamek  main. Tapi  yang  biasa  main  ya"
seg_006.wav,19.681,20.623,mekrang  main
seg_007.wav,21.810,29.843,"Dota 2  lah.  Dota 2  tok  nya  macam  strategi game, 5v5... and then... kita tok eh objektifnya kita kena"
seg_008.wav,30.523,34.521,kita kena musnahkan fountain team sebelah
seg_009.wav,35.495,36.876,kita... nya macam
seg_010.wav,37.510,48.519,"apa yang mekrang tengoklah, masa kita belaja ya kita tengok yang dak profesional main. Kita rasa cam senang jak main tok, tapi once kita try nya macam"
seg_011.wav,49.017,49.380,oof
seg_012.wav,50.082,54.982,"apa yang kita nangga sik semestinya kita dapat apply. Nya macam, ooh lain macam oo.."
seg_013.wav,54.982,55.729,oh..
seg_014.wav,55.729,64.385,"okay lekak ya tek, and then objektif game tok nya macam, yalah tek nya untuk kita nak tower kan, pecahkan tower"
seg_015.wav,64.861,83.107,"tower apa tek, tower team lawan and then cubalah untuk dapatkan seberapa banyak kill apa semua.. and siklah, kill nya sik lah penting gilak. Nya macam objektif game ya paling penting. Objektifnya tower, destroy tower, destroy barrack apa semua, destroy fortune nya.."
seg_016.wav,83.107,84.352,okay..
seg_017.wav,84.352,101.891,"kira macam ya lah. tapi mun nak kepuasan nya memang kill lah. Kill nya sigek and then macam.. nya ada macam double kill ka, triple kill ka, ultra kill ka, last last nya rampage. aa ya lah macam ya tek... and then"
seg_018.wav,103.408,118.071,"and then sebab suka nengok dota tok, kawan lah kawan nang utama lah nang ajak dota and then suka nangga suasana hype bila tournament- world tournament nya orang buat pergh... mantap"
seg_019.wav,118.071,123.279,okay. boleh sik kitak explain kenak kita suka gilak dengan game tok? apa penyebab nya?
seg_020.wav,123.279,135.220,game nya tok sigek yang paling penting nya ajar mekanikal lah teknikal nya lah and then salah satunya nya ajar kita berfikir dengan cepat bedasarkan strategi kita
seg_021.wav,135.764,137.566,lekak ya satu lagi nya
seg_022.wav,138.472,143.408,and then salah satu yang ciri ciri penting tok game tok kadang kadang boleh mengajar kita bahasa english
seg_023.wav,143.408,144.087,oh..
seg_024.wav,144.087,145.989,haa.. ya jak yang salu dapat
seg_025.wav,145.989,146.850,ya pro nya
seg_026.wav,146.850,150.348,aa yes.. tapi yang con nya... yang con nya pulak
seg_027.wav,150.823,156.824,"con nya mun kitak sikpat kawal dirik kitak boleh jadi macam agresif oh, boleh jadi macam"
seg_028.wav,157.752,165.791,sikpat nak kawal dirik bila macam emo gilak koyak aa bila dah koyak gilak sikpat nak control dirik aa faham faham lah apa jadi
seg_029.wav,167.534,168.666,haa ya jak
seg_030.wav,168.666,169.934,"okay, makseh"
seg_031.wav,169.934,170.748,okay
